world_cup_team,player,position,position_group,club,league,reason_missing
Algeria,Achraf Abada,Defender,Defender,USM Alger,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Mohamed Amine Tougai,Defender,Defender,Esperance,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Zinedine Belaid,Defender,Defender,JS Kabylie,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Adil Boulbina,Forward,Forward,Al Duhail,Qatar Stars League,No reliable FBref match in currently supported/pulled leagues
Algeria,Anis Hadj Moussa,Forward,Forward,Feyenoord,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Algeria,Mohamed Amine Amoura,Forward,Forward,VfL Wolfsburg,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Nadir Benbouali,Forward,Forward,Győri ETO,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Riyad Mahrez,Forward,Forward,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Algeria,Luca Zidane,Goalkeeper,Goalkeeper,Granada,Spanish football league system,No reliable FBref match in currently supported/pulled leagues
Algeria,Melvin Masstil,Goalkeeper,Goalkeeper,Stade Nyonnaise,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Oussama Benbot,Goalkeeper,Goalkeeper,USM Alger,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Ramiz Zerrouki,Midfielder,Midfielder,FC Twente,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Algeria,Yassine Titraoui,Midfielder,Midfielder,Charleroi,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Argentina,Nicolás Otamendi,Defender,Defender,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Argentina,Jose Manuel López,Forward,Forward,Palmeiras,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Argentina,Lionel Messi,Forward,Forward,Inter Miami,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Argentina,Nico Paz,Forward,Forward,Como,Serie A,No reliable FBref match in currently supported/pulled leagues
Australia,Aziz Behich,Defender,Defender,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Harry Souttar,Defender,Defender,Leicester City,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Jacob Italiano,Defender,Defender,Grazer AK,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
Australia,Jason Geria,Defender,Defender,Albirex Niigata,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Jordan Bos,Defender,Defender,Feyenoord Rotterdam,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Australia,Kai Trewin,Defender,Defender,New York City FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Lucas Herrington,Defender,Defender,Colorado Rapids,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Milos Degenek,Defender,Defender,Apoel Nicosia,Cypriot First Division,No reliable FBref match in currently supported/pulled leagues
Australia,Ajdin Hrustic,Forward,Forward,Heracles Almelo,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Awer Mabil,Forward,Forward,Castellón,Spanish football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Mathew Leckie,Forward,Forward,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Mohamed Toure,Forward,Forward,Norwich City,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Nestory Irankunda,Forward,Forward,Watford,English football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Nishan Velupillay,Forward,Forward,Melbourne Victory,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Tete Yengi,Forward,Forward,Machida Zelvia,J1 League / Japanese football league system,No reliable FBref match in currently supported/pulled leagues
Australia,Patrick Beach,Goalkeeper,Goalkeeper,Melbourne City,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Australia,Paul Izzo,Goalkeeper,Goalkeeper,Randers FC,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
Australia,Aiden O'Neill,Midfielder,Midfielder,New York City FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Australia,Cameron Devlin,Midfielder,Midfielder,Heart of Midlothian,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Australia,Paul Okon Jr,Midfielder,Midfielder,Sydney FC,Australian A-League Men,No reliable FBref match in currently supported/pulled leagues
Austria,Philipp Mwene,Defender,Defender,Mainz 05,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Austria,Alexander Schlager,Goalkeeper,Goalkeeper,RB Salzburg,Austrian Bundesliga,No reliable FBref match in currently supported/pulled leagues
Austria,Florian Wiegele,Goalkeeper,Goalkeeper,Viktoria Plzen,Czech First League,No reliable FBref match in currently supported/pulled leagues
Austria,Patrick Pentz,Goalkeeper,Goalkeeper,Brondby,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
Austria,Alessandro Schopf,Midfielder,Midfielder,Wolfsberger AC,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Belgium,Brandon Mechele,Defender,Defender,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Joaquin Seys,Defender,Defender,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Zeno Debast,Defender,Defender,Sporting CP,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Belgium,Hans Vanaken,Midfielder,Midfielder,Club Brugge,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Belgium,Nicolas Raskin,Midfielder,Midfielder,Rangers,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Dennis Hadzikadunic,Defender,Defender,Sampdoria,Italian football league system,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Nihad Mujakic,Defender,Defender,Gaziantep,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Nikola Katic,Defender,Defender,Schalke 04,Bundesliga,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Stjepan Radeljic,Defender,Defender,Rijeka,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Jovo Lukic,Forward,Forward,Universitatea Cluj,Romanian Liga I,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Samed Bazdar,Forward,Forward,Jagiellonia Bialystok,Polish Ekstraklasa,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Martin Zlomislic,Goalkeeper,Goalkeeper,Rijeka,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Osman Hadzikic,Goalkeeper,Goalkeeper,Slaven Belupo,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Amar Memic,Midfielder,Midfielder,Viktoria Plzen,Czech First League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Amir Hadziahmetovic,Midfielder,Midfielder,Hull City,English football league system,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Benjamin Tahirovic,Midfielder,Midfielder,Brondby,Danish Superliga,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Dzenis Burnic,Midfielder,Midfielder,Karlsruher SC,German football league system,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Ermin Mahmic,Midfielder,Midfielder,Slovan Liberec,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Esmir Bajraktarevic,Midfielder,Midfielder,PSV Eindhoven,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Ivan Basic,Midfielder,Midfielder,Astana,Kazakhstan Premier League,No reliable FBref match in currently supported/pulled leagues
Bosnia and Herzegovina,Ivan Sunjic,Midfielder,Midfielder,Pafos,Cypriot First Division,No reliable FBref match in currently supported/pulled leagues
Brazil,Bremer,Defender,Defender,Juventus,Serie A,No reliable FBref match in currently supported/pulled leagues
Brazil,Douglas Santos,Defender,Defender,Zenit St. Petersburg,Russian Premier League,No reliable FBref match in currently supported/pulled leagues
Brazil,Léo Pereira,Defender,Defender,Flamengo,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Brazil,Roger Ibañez,Defender,Defender,Al Ahli,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Brazil,Neymar,Forward,Forward,Santos,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Brazil,Weverton,Goalkeeper,Goalkeeper,Grêmio,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Brazil,Fabinho,Midfielder,Midfielder,Al Ittihad,Saudi Pro League,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Diney,Defender,Defender,Al Bataeh,Middle East / North Africa league - verify club,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Joao Paulo,Defender,Defender,FCSB,Romanian Liga I,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Kelvin Pires,Defender,Defender,SJK,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Pico,Defender,Defender,Shamrock Rovers,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Sidny Lopes Cabral,Defender,Defender,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Steven Moreira,Defender,Defender,Columbus Crew,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Stopira,Defender,Defender,Torreense,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Wagner Pina,Defender,Defender,Trabzonspor,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Garry Rodrigues,Forward,Forward,Apollon Limassol,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Gilson Benchimol,Forward,Forward,Akron Tolyatti,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Helio Varela,Forward,Forward,Maccabi Tel Aviv,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Nuno da Costa,Forward,Forward,Istanbul Basaksehir,Turkish Süper Lig,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Ryan Mendes,Forward,Forward,Igdir,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Willy Semedo,Forward,Forward,Omonia,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,CJ dos Santos,Goalkeeper,Goalkeeper,San Diego FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Marcio Rosa,Goalkeeper,Goalkeeper,Montana,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Vozinha,Goalkeeper,Goalkeeper,Chaves,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Deroy Duarte,Midfielder,Midfielder,Ludogorets Razgrad,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Jamiro Monteiro,Midfielder,Midfielder,PEC Zwolle,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Kevin Pina,Midfielder,Midfielder,Krasnodar,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Laros Duarte,Midfielder,Midfielder,Puskas Akademia,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Telmo Arcanjo,Midfielder,Midfielder,Vitoria Guimaraes,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Cabo Verde,Yannick Semedo,Midfielder,Midfielder,Farense,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Canada,Alfie Jones,Defender,Defender,Middlesbrough,English football league system,No reliable FBref match in currently supported/pulled leagues
Canada,Alistair Johnston,Defender,Defender,Celtic,Scottish Premiership,No reliable FBref match in currently supported/pulled leagues
Canada,Joel Waterman,Defender,Defender,Chicago Fire,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Niko Sigur,Defender,Defender,Hajduk Split,Croatian Football League,No reliable FBref match in currently supported/pulled leagues
Canada,Richie Laryea,Defender,Defender,Toronto FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Promise David,Forward,Forward,Royale-Union Saint Gilloise,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Canada,Dayne St. Clair,Goalkeeper,Goalkeeper,Inter Miami,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Maxime Crépeau,Goalkeeper,Goalkeeper,Orlando City,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Owen Goodman,Goalkeeper,Goalkeeper,Barnsley,English football league system,No reliable FBref match in currently supported/pulled leagues
Canada,Ali Ahmed,Midfielder,Midfielder,Norwich City,English football league system,No reliable FBref match in currently supported/pulled leagues
Canada,Jacob Shaffelburg,Midfielder,Midfielder,LAFC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Jonathan Osorio,Midfielder,Midfielder,Toronto FC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Liam Millar,Midfielder,Midfielder,Hull City,English football league system,No reliable FBref match in currently supported/pulled leagues
Canada,Marcelo Flores,Midfielder,Midfielder,Tigres UANL,Liga MX,No reliable FBref match in currently supported/pulled leagues
Canada,Mathieu Choinière,Midfielder,Midfielder,LAFC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Canada,Nathan Saliba,Midfielder,Midfielder,Anderlecht,Belgian Pro League,No reliable FBref match in currently supported/pulled leagues
Canada,Stephen Eustáquio,Midfielder,Midfielder,LAFC,Major League Soccer,No reliable FBref match in currently supported/pulled leagues
Colombia,Santiago Arias,Defender,Defender,Independiente,Argentina Primera División,No reliable FBref match in currently supported/pulled leagues
Colombia,Willer Ditta,Defender,Defender,Cruz Azul,Liga MX,No reliable FBref match in currently supported/pulled leagues
Colombia,Cucho Hernández,Forward,Forward,Real Betis,LaLiga,No reliable FBref match in currently supported/pulled leagues
Colombia,Jhon Córdoba,Forward,Forward,Krasnodar,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Colombia,Luis Suárez,Forward,Forward,Sporting CP,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Colombia,Camilo Vargas,Goalkeeper,Goalkeeper,Atlas,Liga MX,No reliable FBref match in currently supported/pulled leagues
Colombia,David Ospina,Goalkeeper,Goalkeeper,Atlético Nacional,Colombian Categoría Primera A,No reliable FBref match in currently supported/pulled leagues
Colombia,Álvaro Montero,Goalkeeper,Goalkeeper,Vélez Sarsfield,Argentina Primera División,No reliable FBref match in currently supported/pulled leagues
Colombia,Jaminton Campaz,Midfielder,Midfielder,Rosario Central,Argentina Primera División,No reliable FBref match in currently supported/pulled leagues
Colombia,Jorge Carrascal,Midfielder,Midfielder,Flamengo,Brazilian football league system,No reliable FBref match in currently supported/pulled leagues
Colombia,Juan Fernando Quintero,Midfielder,Midfielder,River Plate,Argentina Primera División,No reliable FBref match in currently supported/pulled leagues
Colombia,Juan Portilla,Midfielder,Midfielder,Athletico Paranaense,Unknown / verify manually,No reliable FBref match in currently supported/pulled leagues
Colombia,Kevin Castaño,Midfielder,Midfielder,River Plate,Argentina Primera División,No reliable FBref match in currently supported/pulled leagues
Colombia,Richard Ríos,Midfielder,Midfielder,Benfica,Primeira Liga,No reliable FBref match in currently supported/pulled leagues
Croatia,Josip Sutalo,Defender,Defender,Ajax,Eredivisie / Dutch football league system,No reliable FBref match in currently supported/pulled leagues
